,f_inhibition_list,r_concentration_uM,r_inhibition_list,f_concentration_uM,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50
168,"[42.19207, -6.567614, 17.8596, -17.23083, 3.268734, -21.53747, -2.459087, -13.21705, -10.21102, -16.34367, -6.317829, -8.488372, -3.854436, -6.111111, 4.870801, 3.139535, 1.132644, 0.6416882, -13.29457, -16.25754, 37.04134, 17.94574, -1.571921, -11.24462, 48.45494, 8.893783, 32.64407, 1.435621, 20.47392, 4.535258, 12.37136, 3.986024, 1.30511, -4.070312, 3.115951, -0.4540696, 0.4676645, -1.585165, 3.65159, 10.58227, -1.623231, 1.538943, -6.10139, -2.950093, 42.33179, 26.01248, 9.918839, 0.3289965]",,,"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]",Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,,,,,,99.49999999999996,,99.0
171,"[2.215264, 1.535448, 1.532099, 1.552192, 89.35903, 76.97833, 57.34403, 34.84645, 89.25857, 20.05124, 72.82241, 6.773048, 46.04166, -0.6747932, 25.24195, -1.12019, 17.15113, 0.08539566, 3.069221, -1.26754, 0.6881886, -3.022337, -2.262148, -3.367268]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[-41.402241725985704, -41.402241725985704, 15.142536706697149, 3.1296678017287647, 0.9390826127805476, -3.7478134388298625, -3.4118882196862237, -0.9077045609723534, 0.060540162573355254, -0.5742505863866874, -0.7164313040142719, -41.402241725985704, -41.402241725985704, 16.03705052596707, 15.190882189704158, -0.5468712803877918, -2.9739921031029564, -2.9456115843912842, -1.155662512283474, -0.3906965909262327, -0.34901470270077106, -1.190479137850211]","[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]",Cc1ccncc1NC(=O)N(Cc1ccccc1)c1cccc(Cl)c1,,,,,,22.91007095175033,,
176,"[7.134516, 8.591448, -39.74309, -15.86498, 70.79464, 40.53273, 29.60018, 5.366179, 73.54168, 15.87611, 52.63304, 8.513597, 23.71684, -18.99016, -4.60991, -1.351276, -0.8508036, 5.722071, -15.79825, -11.62765, 10.76016, -0.1390202, -10.68231, 3.553356]",,,"[0.396, 0.02, 0.099, 0.02, 99.0, 49.5, 24.8, 12.4, 99.0, 7.43, 49.5, 2.48, 24.8, 1.55, 12.4, 0.773, 7.43, 0.396, 2.48, 0.02, 1.55, 0.099, 0.773, 0.02]",Cc1nnc(C2Cc3ccccc3CN2C(=O)CCl)o1,,,,,,53.491288911189535,,99.0
179,,,,,CC(C(=O)Nc1cncnc1)c1ccccc1,,,,,,99.49999999999996,,
183,"[42.41602, -3.596038, 19.58226, -10.81395, 5.223945, -15.66322, 2.4677, -7.437553, -4.336779, -6.998277, -1.847545, -1.244617, 1.210164, 0.3488372, 3.880275, 4.517657, -4.379845, 7.03273, -5.137812, -8.815676, 39.59948, 22.9242, 1.614987, -5.999138, 45.65711, 11.28648, 28.87556, 1.432902, 19.41352, 12.57528, 13.35019, 28.61998, 3.670623, -0.01903286, 4.755496, -2.112647, 0.6906208, -1.677611, -0.09788327, 0.2256753, 2.419892, 5.334638, -3.216553, -3.512922, 43.8218, 24.24242, 9.693163, 4.731025]",,,"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]",O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,,,,,,99.49999999999996,,99.0
184,"[-11.33075, -15.80965, -15.77519, -9.944014, 20.43497, 30.74505, 18.88458, 11.60637, 27.36003, 3.871662, 35.92162, 8.29888, 20.29716, -7.144702, 3.458225, -8.22136, -2.950043, -13.12231, -11.80448, -13.1137, -5.241171, -22.22653, -16.24892, -6.464255, 5.663635, 2.640129, 3.599929, 5.758799, 27.45626, 29.1964, 22.25485, 10.5442, 42.26926, 21.6322, 40.47745, 3.374254, 17.00178, -4.619546, 6.642467, 0.8292888, 8.55391, 27.7064, 0.02990878, -6.468453, -5.829493, -5.927376, -3.893579, -5.65004]",,,"[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]",O=C(NCCOc1ccccc1)c1cc(=O)[nH]c2ccccc12,,,,,,99.49999999999996,,99.0
188,"[75.49621, 61.83027, 43.1878, 24.20047, 11.67483, 3.184273, 0.5814759, 0.7123709, 77.7919, 65.13033, 43.71641, 24.32381, 10.66039, 3.55682, -3.858885, -0.8180937]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",COc1ccccc1N1CCN(C(=O)c2cc(=O)[nH]c3ccccc23)CC1,,,,,,32.75910224749994,,
190,"[82.81626, 71.05081, 50.34675, 30.81067, 18.54681, 3.365512, 2.174871, -1.225882, 82.90436, 71.94946, 49.95406, 32.18255, 25.9449, 6.008584, -2.889759, -2.230249]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1,,,,,,23.999599864981683,,
193,"[-28.77824592590332, -22.0349063873291, -12.65804672241211, -9.791175842285156, 96.711669921875, 94.74486541748047, 83.08212280273438, 57.908897399902344, 99.430908203125, 43.02688217163086, 96.85929870605469, 19.14898681640625, 81.88680267333984, 12.46279525756836, 57.61363983154297, 7.833892822265625, 43.2935676574707, 6.986213207244873, 16.582136154174805, 1.4905827045440674, 11.686549186706543, -0.028573468327522278, 8.13391399383545, -0.3476438820362091]",,,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]",O=C(CCl)N1CCCN(S(=O)(=O)Cc2ccccc2)CC1,,,,,,8.812771495923988,,
194,"[-28.621091842651367, -21.830129623413086, -19.615686416625977, -7.405290603637695, 97.35933685302734, 90.74933624267578, 73.52906036376953, 46.39379119873047, 98.5689468383789, 32.673763275146484, 92.67328643798828, 15.691596984863281, 72.30992889404297, 8.443460464477539, 47.570064544677734, 2.900207042694092, 35.05964660644531, 6.524275302886963, 12.796152114868164, 2.000142812728882, 9.1006498336792, 0.2571612298488617, 5.162273406982422, 1.681072473526001]",,,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]",O=C(CCl)N1CCCN(S(=O)(=O)c2cc(F)ccc2F)CC1,,,,,,12.126216700726978,,
