r_inhibition_list,f_concentration_uM,f_inhibition_list,r_concentration_uM,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50,CHEMBL,Training,avg_IC50
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[91.39356231689453, 40.43462371826172, 82.52023315429688, 20.538175582885742, 69.3794174194336, 14.240501403808594, 54.96390151977539, 12.516589164733887, 34.76409149169922, 0.04667104035615921, 15.185589790344238, 1.3097060918807983, 11.078537940979004, 1.508057951927185, 7.77072811126709, 1.3826295137405396, 4.900459289550781, 5.186319351196289, -1.6305694580078125, -1.9631006717681885, 86.04681396484375, 76.5638427734375, 62.708377838134766, 47.83489990234375]",,O=C(Nc1cncc2ccc(F)cc12)[C@@H]1CCNc2cc(Cl)c(Cl)cc21,,,,,,12.060897057352268,,,False,True,12.060897057352268
,"[99.5, 7.460000038146973, 49.79999923706055, 2.490000009536743, 24.899999618530273, 1.5499999523162842, 12.399999618530273, 0.7760000228881836, 7.460000038146973, 0.3880000114440918, 2.490000009536743, 0.1940000057220459, 1.5499999523162842, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.79999923706055, 24.899999618530273, 12.399999618530273]","[38.2971076965332, 3.0748422145843506, 21.033611297607422, 1.4116801023483276, 14.687390327453613, 3.0304629802703857, 10.120563507080078, 4.351271629333496, 1.3102420568466187, -1.954796552658081, 1.1094791889190674, -0.6191950440406799, -4.90072774887085, -0.9150561094284058, 1.7307875156402588, -2.6965627670288086, -2.68388295173645, -1.3017889261245728, -0.843204140663147, -0.9594352841377258, 36.24087142944336, 19.5078125, 6.971755504608154, 1.6610487699508667]",,Cn1cnc2cc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)ccc21,,,,,,99.49999999999996,,,False,True,99.49999999999996
,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 9.949999809265137, 0.7462999820709229, 4.974999904632568, 0.24879999458789825, 2.48799991607666, 0.15520000457763672, 1.24399995803833, 0.07760000228881836, 0.7462999820709229, 0.24879999458789825, 0.01940000057220459, 0.15520000457763672, 0.07760000228881836, 0.004999999888241291, 0.01940000057220459, 0.004999999888241291, 9.949999809265137, 4.974999904632568, 1.24399995803833, 9.949999809265137, 0.7462999820709229, 4.974999904632568, 0.24879999458789825, 2.48799991607666, 0.15520000457763672, 1.24399995803833, 0.07760000228881836, 0.7462999820709229, 0.03880000114440918, 0.24879999458789825, 0.01940000057220459, 0.15520000457763672, 0.009999999776482582, 0.07760000228881836, 0.004999999888241291, 0.03880000114440918, 0.01940000057220459, 0.009999999776482582, 0.004999999888241291, 9.949999809265137, 4.974999904632568, 2.48799991607666, 1.24399995803833]","[86.82563781738281, 86.36184692382812, 78.78363037109375, 64.89608001708984, 94.99598693847656, 82.96360778808594, 82.40939331054688, 80.11375427246094, 96.52445983886719, 79.32035064697266, 86.19265747070312, 74.6590805053711, 80.75548553466797, 88.99584197998047, 79.1336669921875, 81.93101501464844, 74.27112579345703, 85.3292465209961, 74.99744415283203, 81.33012390136719, 72.2059326171875, 73.7431640625, 79.7987289428711, 60.11521530151367, 89.3193130493164, 93.23870849609375, 60.041015625, 73.3747787475586, 86.3895263671875, 70.08040618896484, 84.4819107055664, 43.341251373291016, 120.32943725585938, 72.593505859375, 15.052573204040527, -32.8982048034668, 47.814056396484375, 4.524886608123779, 26.797746658325195, -1.3932744264602661, 37.9113883972168, 53.66059875488281, 89.69692993164062, 91.20471954345703, 92.5998764038086, 71.6994400024414, 85.16249084472656, 77.08548736572266, 77.8161849975586, 92.84205627441406, 64.44007110595703, 90.49886322021484, 40.799007415771484, 83.092529296875, 24.628440856933594, 76.8991928100586, 12.593666076660156, 62.25419235229492, 7.892775535583496, 43.092525482177734, 28.962947845458984, 12.125853538513184, 6.462430000305176, 74.60153198242188, 69.92755126953125, 78.62347412109375, 93.39888000488281]",,COc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc43)c2c1,,,,,,0.0619878908807373,,,False,True,0.0619878908807373
"[52.242608932725545, 8.244005228465054, -27.315672400482093, -32.14665182040784, -27.009914209347546, -24.25809048913668, -8.297512911913628, -2.8855929288322377, 1.1504151941437082, -2.7327138332649756, -2.274076546563168, 65.23733205594355, 26.558920877424086, -19.70229344123201, -15.48283040357535, -22.851602809917786, -13.067340693612477, -2.0600458127689887, 0.8752328221226106, 3.2907225320854954, -0.531254857096282, -2.335228184790064]","[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]","[59.02193, 8.238585, 41.37645, 4.478514, 25.35139, 2.65667, 14.64414, 2.508953, 6.577887, -0.534915, 0.8795882, -1.837511, 5.4812, 2.365712, 3.11325, 4.115935, 1.407789, 0.2663384, -4.818711, -4.572515, 56.9718, 36.17502, 19.67547, 8.565353]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",Cc1ccn2cnnc2c1NC(=O)Cc1cccc(Cl)c1,,,83.3781317147818,,,75.25738153692555,,,False,False,79.31775662585368
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[5.702753067016602, 0.8155661225318909, 0.8631753325462341, -3.564479351043701, 1.6746015548706055, 0.635479211807251, 2.3804595470428467, 3.529289960861206, -1.1529704332351685, -2.2376320362091064, -1.687021255493164, -2.7530531883239746, -2.107224225997925, -1.0515421628952026, -1.1384806632995605, 0.49472159147262573, 0.7762367725372314, 2.0368454456329346, -4.543572902679443, 0.12212792038917542, -1.2730283737182617, -2.5357067584991455, -1.4137859344482422, 1.480024814605713]",,Cc1nc(N2CCN(S(=O)(=O)c3ccccc3)CC2)sc1S(N)(=O)=O,,,,,,99.49999999999996,,,False,True,99.49999999999996
"[-23.618374408501303, -30.33636782498438, -23.252757783674323, -13.481020985964346, -10.689280928896567, -6.143560640008496, -2.7655160338731655, 57.916224193503105, -39.55070392455469, -0.37551544537900705, -1.127740411313774, -30.052549984832915, -35.50983130492212, -28.04839288425189, -22.04607167171256, -10.081832987738327, -3.4265625200585266, -2.02144312507876, 2.2416041683546197, 1.1105624368747087, 73.90660762432513, -0.3301321533161121]","[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.79999923706055, 24.899999618530273, 12.399999618530273, 99.5, 7.460000038146973, 49.79999923706055, 2.490000009536743, 24.899999618530273, 1.5499999523162842, 12.399999618530273, 0.7760000228881836, 7.460000038146973, 0.3880000114440918, 2.490000009536743, 0.1940000057220459, 1.5499999523162842, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[13.218159675598145, 9.146071434020996, 8.92835521697998, 3.4007983207702637, 92.92222595214844, 60.15199661254883, 39.00536346435547, 7.15437650680542, 95.9581527709961, 1.284118890762329, 81.14139556884766, -1.7235817909240723, 43.64189910888672, 0.8043382167816162, 20.285852432250977, 4.787727355957031, 24.34584617614746, 7.646252632141113, 22.0396728515625, 5.9650044441223145, 17.778091430664062, 0.8043382167816162, 7.392251014709473, -1.7800266742706299]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,,,,,,29.64298106733978,,,False,True,29.64298106733978
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[95.17534637451172, 58.65055465698242, 90.80789184570312, 30.82987403869629, 81.68929290771484, 19.154373168945312, 71.16622161865234, 11.503266334533691, 57.0262336730957, 4.1812238693237305, 28.64964485168457, 1.9183778762817383, 20.556049346923828, -0.24504826962947845, 11.763717651367188, 2.129819631576538, 4.06640100479126, 1.688732624053955, -1.1958355903625488, -0.4466879963874817, 94.64464569091797, 90.7798843383789, 81.90913391113281, 69.67072296142578, 90.4931640625, 46.119964599609375, 84.79446411132812, 16.50587272644043, 79.17964935302734, 2.861337423324585, 52.687557220458984, -0.10486576706171036, 44.837608337402344, 14.594319343566895, 21.04206657409668, 3.520493745803833, 16.85342788696289, 6.3968119621276855, 7.781040191650391, 2.83137583732605, -0.28463566303253174, 5.000598907470703, 1.2374160289764404, 0.12883508205413818, 92.08712768554688, 85.60942077636719, 73.54685974121094, 57.026004791259766]",,CC(NC(=O)CN1CCN(C2CC2)C1=O)(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,,,,,,7.58287640712161,,,False,True,7.58287640712161
,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[2.161592721939087, 1.7201606035232544, 1.799903154373169, 3.1042635440826416, 72.73374938964844, 61.307777404785156, 42.97553634643555, 26.7393856048584, 71.72272491455078, 39.657676696777344, 58.6421012878418, 1.6033947467803955, 38.69791793823242, -2.6913108825683594, 22.814912796020508, -3.5941104888916016, 10.335204124450684, -4.522541522979736, -0.9683023691177368, -4.354512691497803, -3.9529519081115723, -6.9404497146606445, -3.1327428817749023, -4.67633056640625]",,COc1ccccc1CC(=O)Nc1cncc2ccccc12,,,,,,34.98539474855923,,,False,True,34.98539474855923
,"[99.5, 7.460000038146973, 49.79999923706055, 2.490000009536743, 24.899999618530273, 1.5499999523162842, 12.399999618530273, 0.7760000228881836, 7.460000038146973, 0.3880000114440918, 2.490000009536743, 0.1940000057220459, 1.5499999523162842, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.79999923706055, 24.899999618530273, 12.399999618530273]","[80.04733276367188, 20.059383392333984, 66.52648162841797, 8.499667167663574, 49.641265869140625, 7.639556407928467, 33.45343780517578, 6.606155872344971, 18.39199447631836, 1.4602859020233154, 7.675482273101807, 1.682181715965271, 1.7244476079940796, 1.1982375383377075, 3.4129691123962402, 1.8956243991851807, 0.8854700326919556, 1.0059278011322021, 0.2599351108074188, 0.5705893039703369, 78.82373809814453, 63.81301498413086, 44.3580322265625, 27.27205467224121]",,CS(=O)(=O)Cc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,,,,27.658402701147647,,,False,True,27.658402701147647
,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[24.972702026367188, 16.413219451904297, 8.79650592803955, 6.6313347816467285, 97.4433364868164, 96.99858856201172, 95.33942413330078, 92.04239654541016, 98.0079345703125, 87.91445922851562, 97.80020904541016, 70.5904312133789, 94.89733123779297, 58.61674118041992, 91.75477600097656, 42.033077239990234, 85.1846923828125, 21.76089859008789, 65.92452239990234, 7.677967548370361, 58.113399505615234, 4.548722743988037, 40.74675750732422, 1.2676769495010376]",,CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cc(=O)[nH]c3ccccc23)cc1,,,,,,1.1623983129451227,,,False,True,1.1623983129451227
